,맛집
0,춘천막국수
1,대가집
2,도레미즉석떡볶이
3,진미기사식당
4,히피스베이글
5,황금성
6,대보명가 서울본점
7,카페멘디
8,이설함흥냉면
9,엄마손기사님식당 수유본점
10,시골농장
11,섬진강1984 민물장어
12,능이버섯백숙
13,샘터마루
14,석가갈비냉면 수유점
15,홍가네 가마솥설렁탕
16,쎄쎄
17,KFC 우이동점
18,예와손만두
19,돈돈
20,방일해장국 우이점
21,해촌샤브샤브 덕성여대점
22,사리원돼지국밥 덕성여대점
23,노르웨이안우드
24,곰보냉면
25,풍천민물장어
26,우이동주막집
27,마포감자국
28,라티스
29,카페비르케
30,다정도병인양
31,탐앤탐스 덕성여대점
32,산책
33,엘수에뇨
34,서당골
35,착한낙지 수유점
36,스푼앤포크키친
37,콩블랑제리
38,궁전회관
39,블랙다운커피
40,원조왕십리곱창전문
41,아띠랑스
42,진송추어탕 서울본점
43,본죽&비빔밥cafe 덕성여대점
44,돼지저금통
45,써브웨이 덕성여대점
46,차우린해물짬뽕 수유점
47,양국
48,현대회수산
49,메가MGC커피 우이동점
50,조이키친
51,포36거리 덕성여대점
52,엘림들깨수제비칼국수
53,솔밭집
54,롯데리아 덕성여대점
55,배스킨라빈스 덕성여대점
56,크을농
57,영희네쌈밥
58,달밤엔타코야끼
59,메가MGC커피 419사거리점
60,시래기화덕생선구이
61,마크볼륨카페
62,대구반야월막창 서울우이점
63,한방전주콩나물국밥 수유점
64,교촌치킨 덕성여대점
65,컴포즈커피 덕성여대점
66,스파웃커피
67,동키치킨 쌍문점
68,쌍문동커피
69,파리바게뜨 419탑점
70,옛가칼국수
71,4.19그집
72,산동성
73,수작
74,슬로핸드
